epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
0,0.8313844100288723,0.6772450234579004,-0.5384770515172378,0.01,0.7636520385742187,0.6162003469467163,-0.5052136218547821
1,0.834112955176312,0.6797348571860272,-0.5875924644262894,0.01,0.8030274963378906,0.5961225748062133,-0.5206821787357331
2,0.8325429584669031,0.680305882640507,-0.6123960899270099,0.01,0.8101028442382813,0.5789918947219849,-0.5216858696937561
3,0.8442525034365447,0.6919015801471212,-0.6372353693713313,0.01,0.7681719970703125,0.20419946298003197,-0.14107677668333055
4,0.8346914208453634,0.6919030935867972,-0.6291483744331028,0.01,0.8136862182617187,0.6406953191757202,-0.5750356876850128
5,0.8495480910591457,0.7014054111812426,-0.6430078550525333,0.01,0.8249421691894532,0.5221225196123123,-0.47345944344997404
6,0.877697115359099,0.752788465955983,-0.7043657536092012,0.01,0.8384646606445313,0.6225472295284271,-0.5752363908290863
7,0.8761402213055155,0.7543358258579088,-0.7113251971161884,0.01,0.7618955993652343,0.1977934694290161,-0.15919215753674507
8,0.8838219020677649,0.7735927234525266,-0.7343141281086466,0.01,0.8402696228027344,0.5219740915298462,-0.48675899565219877
9,0.8952295054560122,0.7927685198576554,-0.7629486192827639,0.01,0.8098712158203125,0.3846729499101639,-0.35975168719887735
